,Network,Ligand_name,BespokeFit_ID,Smiles,BespokeParameters
19,shp2,lig_E8,197,CC1(CCN(CC1)c2cnc(c(n2)N)c3cccc(c3Cl)Cl)C[NH3+],True
20,shp2,lig_E23,198,CC1(CCN(CC1)c2c(nc(c(n2)N)c3cccc(c3Cl)Cl)Cl)[NH3+],True
21,shp2,lig_E30,202,CC1(CCN(CC1)c2nc(c(nn2)c3cccc(c3Cl)Cl)N)[NH3+],False
22,shp2,lig_E27,201,C[C@@H]1CN(C[C@@H]([NH2+]1)C)c2cnc(c(n2)N)c3cccc(c3Cl)Cl,True
23,shp2,lig_E2,212,Cc1cccc(c1Cl)c2cnc(nc2N)N3CCC(CC3)(C)[NH3+],True
24,cdk2,lig_1oi9,22,c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)O,True
25,cdk2,lig_1oiu,23,c1cc(cc(c1)S(=O)(=O)N)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
26,cdk2,lig_26,20,COc1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
27,cdk2,lig_17,15,c1cc(cc(c1)Br)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
28,cdk2,lig_1oiy,21,c1cc(ccc1C(=O)N)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
29,cdk2,lig_20,16,c1cc(cc(c1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)CO,True
30,cdk2,lig_1h1r,18,c1cc(cc(c1)Cl)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
31,cdk2,lig_22,14,CSc1cccc(c1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
32,cdk2,lig_1h1q,19,c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
33,cdk2,lig_21,17,COc1cccc(c1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,True
34,pde2,lig_49220548,130,CCCOc1ccc(c(c1)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5)Cl,True
35,pde2,lig_49175789,133,CCCCOc1ccc(c(c1)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5)Cl,True
36,pde2,lig_49580115,136,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)OCCF,True
37,pde2,lig_43249674,131,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5ccccc5Cl,True
38,pde2,lig_48009208,135,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5ccc(cc5Cl)F,True
39,pde2,lig_49137374,120,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(ccc5Cl)OC,True
40,pde2,lig_48168913,121,Cc1c(cccn1)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5,True
41,pde2,lig_50181001,129,CCCCOc1cc(cnc1Cl)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5,True
42,pde2,lig_49585367,134,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)OCCOC,True
43,pde2,lig_49137530,128,CCCCOc1cc(cnc1)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5,True
44,pde2,lig_49396360,125,CCCOc1cc(cnc1)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5,True
45,pde2,lig_49582390,123,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)OCC6CC6,True
46,pde2,lig_50107616,126,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)CCCOC,True
47,pde2,lig_49175828,138,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(ccc5Cl)OC(C)C,True
48,pde2,lig_49220392,140,CCOc1ccc(c(c1)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5)Cl,True
49,pde2,lig_49932714,127,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)OCCCF,True
50,pde2,lig_49582468,139,CCOCc1cc(cnc1)c2nnc3n2c4cc(ccc4nc3C)CN5CCOCC5,True
51,pde2,lig_49072088,122,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)OC(C)C,True
52,pde2,lig_48271249,137,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)OC,True
53,pde2,lig_49932129,132,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5cc(cnc5)CCOC,True
54,pde2,lig_48022468,124,Cc1c2nnc(n2c3cc(ccc3n1)CN4CCOCC4)c5c(cccc5Cl)F,True
55,ptp1b,lig_23484,180,c1ccc(cc1)CS(=O)(=O)N2CCC(CC2)Nc3cccc(c3)c4cc(c(s4)C(=O)[O-])OCC(=O)[O-],True
56,ptp1b,lig_23476,184,c1cc(cc(c1)NC2CCCCCC2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
57,ptp1b,lig_23470,179,CC(C)NC(=O)Nc1cccc(c1)c2c(c(c(s2)C(=O)[O-])OCC(=O)[O-])Br,True
58,ptp1b,lig_23474,175,c1cc(cc(c1)NCC2CCCCC2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
59,ptp1b,lig_23471,176,COC(=O)Nc1cccc(c1)c2c(c(c(s2)C(=O)[O-])OCC(=O)[O-])Br,True
60,ptp1b,lig_23483,192,c1ccc(cc1)S(=O)(=O)N2CCC(CC2)Nc3cccc(c3)c4c(c(c(s4)C(=O)[O-])OCC(=O)[O-])Br,True
61,ptp1b,lig_23469,177,c1ccc(cc1)C(=O)Nc2cccc(c2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
62,ptp1b,lig_23477,178,c1cc(cc(c1)NC2CCOCC2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
63,ptp1b,lig_23486,182,c1ccc(cc1)CS(=O)(=O)N2CCC(CC2)Nc3cccc(c3)c4c(c(c(s4)C(=O)[O-])OCC(=O)[O-])Cl,True
64,ptp1b,lig_23479,174,CC(=O)N1CCC(CC1)Nc2cccc(c2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
65,ptp1b,lig_23475,189,c1cc(cc(c1)NC2CCCC2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
66,ptp1b,lig_23468,191,CCC(=O)Nc1cccc(c1)c2c(c(c(s2)C(=O)[O-])OCC(=O)[O-])Br,True
67,ptp1b,lig_23482,185,CS(=O)(=O)N1CCC(CC1)Nc2cccc(c2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
68,ptp1b,lig_23485,181,Cc1c(c(sc1c2cccc(c2)NC3CCN(CC3)S(=O)(=O)Cc4ccccc4)C(=O)[O-])OCC(=O)[O-],True
69,ptp1b,lig_20667_2qbp,188,c1ccc(cc1)CS(=O)(=O)N2CCC(CC2)Nc3cccc(c3)c4c(c(c(s4)C(=O)[O-])OCC(=O)[O-])Br,True
70,ptp1b,lig_23466,187,c1cc(cc(c1)N)c2c(c(c(s2)C(=O)[O-])OCC(=O)[O-])Br,True
71,ptp1b,lig_20670_2qbs,194,c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
72,ptp1b,lig_23472,193,c1cc(cc(c1)NS(=O)(=O)c2ccc(cc2)F)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
73,ptp1b,lig_23467,173,COc1cccc(c1)c2c(c(c(s2)C(=O)[O-])OCC(=O)[O-])Br,True
74,ptp1b,lig_23480,183,COC(=O)N1CCC(CC1)CNc2cccc(c2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
75,ptp1b,lig_23473,186,c1ccc(cc1)COc2cccc(c2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
76,ptp1b,lig_20669_2qbr,190,c1ccc(cc1)CNc2cccc(c2)c3c(c(c(s3)C(=O)[O-])OCC(=O)[O-])Br,True
77,cmet,lig_CHEMBL3402754_40_14,27,Cc1cnc(nc1)c2cccc(c2)Cn3c(=O)ccc(n3)c4cc(cc(c4)F)F,True
78,cmet,lig_CHEMBL3402744_300_4,26,COC(=O)Nc1cccc(c1)Cn2c(=O)ccc(n2)c3cc(cc(c3)F)F,True
79,cmet,lig_CHEMBL3402745_200_5,24,CCOC(=O)Nc1cccc(c1)Cn2c(=O)ccc(n2)c3cc(cc(c3)F)F,True
80,cmet,lig_CHEMBL3402761_1_21,28,c1cc(cc(c1)c2ncc(cn2)OCCN3CCOCC3)Cn4c(=O)ccc(n4)c5cccc(c5)C#N,True
81,cmet,lig_CHEMBL3402749_500_9,25,Cc1cnc(o1)c2cccc(c2)Cn3c(=O)ccc(n3)c4cc(cc(c4)F)F,True
82,tyk2_default,lig_ejm_45,7,c1cc(c(c(c1)Cl)C(=O)Nc2ccnc(c2)NC(=O)CC3CC3)Cl,True
83,tyk2_default,lig_ejm_47,1,c1cc(c(c(c1)Cl)C(=O)Nc2ccnc(c2)NC(=O)C3CCC3)Cl,True
84,tyk2_default,lig_ejm_50,12,c1cc(c(c(c1)Cl)C(=O)Nc2ccnc(c2)NC(=O)CO)Cl,True
85,tyk2_default,lig_jmc_28,10,C[C@@H]1C[C@@H]1C(=O)Nc2cc(ccn2)NC(=O)c3c(cccc3Cl)Cl,True
86,tyk2_default,lig_jmc_27,6,c1cc(c(c(c1)Cl)C(=O)Nc2ccnc(c2)NC(=O)[C@H]3C[C@H]3Cl)Cl,True
87,tyk2_default,lig_ejm_43,11,CC(C)C(=O)Nc1cc(ccn1)NC(=O)c2c(cccc2Cl)Cl,True
88,tyk2_default,lig_ejm_54,9,CCNC(=O)Nc1cc(ccn1)NC(=O)c2c(cccc2Cl)Cl,True
89,tyk2_default,lig_ejm_55,8,COC(=O)Nc1cc(ccn1)NC(=O)c2c(cccc2Cl)Cl,True
90,tyk2_default,lig_ejm_48,2,c1cc(c(c(c1)Cl)C(=O)Nc2ccnc(c2)NC(=O)C3CCCC3)Cl,True
91,tyk2_default,lig_ejm_46,3,c1cc(c(c(c1)Cl)C(=O)Nc2ccnc(c2)NC(=O)C3CC3)Cl,True
92,tyk2_default,lig_ejm_31,5,CC(=O)Nc1cc(ccn1)NC(=O)c2c(cccc2Cl)Cl,True
93,tyk2_default,lig_ejm_42,13,CCC(=O)Nc1cc(ccn1)NC(=O)c2c(cccc2Cl)Cl,True
94,tyk2_default,lig_jmc_23,4,c1cc(c(c(c1)Cl)C(=O)Nc2ccnc(c2)NC(=O)[C@H]3C[C@H]3F)Cl,True
95,mcl1,lig_52,70,Cc1cc(ccc1Cl)OCCCc2c3ccc(cc3[nH]c2C(=O)[O-])Cl,True
96,mcl1,lig_37,83,Cc1cc(cc(c1Cl)C)OCCCc2c3ccccc3[nH]c2C(=O)[O-],True
97,mcl1,lig_53,82,Cc1cc(cc(c1Cl)C)OCCCc2c3ccc(cc3[nH]c2C(=O)[O-])Cl,True
98,mcl1,lig_35,79,Cc1cc(ccc1Cl)OCCCc2c3ccccc3[nH]c2C(=O)[O-],True
99,mcl1,lig_32,75,Cc1ccc(cc1)OCCCc2c3ccccc3[nH]c2C(=O)[O-],True
100,mcl1,lig_50,78,Cc1cc(cc(c1Cl)C)OCCCc2c3c(cccc3Cl)[nH]c2C(=O)[O-],True
101,mcl1,lig_43,68,c1ccc2cc(ccc2c1)OCCCc3c4ccccc4[nH]c3C(=O)[O-],True
102,mcl1,lig_31,67,c1ccc2c(c1)c(c([nH]2)C(=O)[O-])CCCOc3cccc(c3)C(F)(F)F,True
103,mcl1,lig_63,66,Cc1cc(cc(c1Cl)C)OCCCc2c3ccc(cc3sc2C(=O)[O-])Cl,True
104,mcl1,lig_67,74,Cc1cc(cc(c1Cl)C)OCCCc2c3ccccc3oc2C(=O)[O-],True
105,mcl1,lig_65,85,Cc1cc(cc(c1Cl)C)OCCCc2c3cccc(c3sc2C(=O)[O-])Cl,True
106,mcl1,lig_47,80,c1ccc2c(c1)c(c([nH]2)C(=O)[O-])CCCOc3ccc4c(c3)cccn4,True
107,mcl1,lig_46,77,c1ccc2c(c1)c(c([nH]2)C(=O)[O-])CCCOc3ccc4c(c3)CCC4,True
108,mcl1,lig_34,73,c1ccc2c(c1)c(c([nH]2)C(=O)[O-])CCCOc3ccc(cc3)C(F)(F)F,True
109,mcl1,lig_27,88,c1ccc(cc1)OCCCc2c3ccccc3[nH]c2C(=O)[O-],True
110,mcl1,lig_56,76,Cc1cc(cc(c1Cl)C)OCCCc2c3ccccc3n(c2C(=O)[O-])C,True
111,mcl1,lig_58,90,Cc1cc(cc(c1Cl)C)OCCCc2c3ccc(cc3n(c2C(=O)[O-])C)Cl,True
112,mcl1,lig_49,84,Cc1cc(ccc1Cl)OCCCc2c3c(cccc3Cl)[nH]c2C(=O)[O-],True
113,mcl1,lig_30,81,Cc1cccc(c1)OCCCc2c3ccccc3[nH]c2C(=O)[O-],True
114,mcl1,lig_36,89,CCc1cc(ccc1Cl)OCCCc2c3ccccc3[nH]c2C(=O)[O-],True
115,mcl1,lig_61,86,Cc1cc(cc(c1Cl)C)OCCCc2c3c(cccc3Cl)sc2C(=O)[O-],True
116,mcl1,lig_33,71,c1ccc2c(c1)c(c([nH]2)C(=O)[O-])CCCOc3ccc(cc3)Cl,True
117,mcl1,lig_60,69,Cc1cc(cc(c1Cl)C)OCCCc2c3ccccc3sc2C(=O)[O-],True
118,mcl1,lig_48,87,c1ccc2c(c1)c(c([nH]2)C(=O)[O-])CCCOc3cccc4c3cc[nH]4,False
119,mcl1,lig_28,72,Cc1ccccc1OCCCc2c3ccccc3[nH]c2C(=O)[O-],True
120,p38,lig_p38a_2v,109,CNc1ncc2cc(c(=O)n(c2n1)C)Oc3ccc(cc3F)F,True
121,p38,lig_p38a_2j,116,Cn1c2c(cc(c1=O)Cc3ccc(cc3F)F)cnc(n2)NC4CCOCC4,True
122,p38,lig_p38a_2n,107,c1cc(c(cc1F)F)Oc2cc3cnc(nc3n(c2=O)CCCO)NC4CCOCC4,True
123,p38,lig_p38a_2z,100,CC(C)(CO)Nc1ncc2cc(c(=O)n(c2n1)C)Oc3ccc(cc3F)F,True
124,p38,lig_p38a_2p,94,CS(=O)(=O)CCCn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC4CCOCC4,True
125,p38,lig_p38a_2i,95,Cn1c2c(cc(c1=O)Cc3ccccc3F)cnc(n2)NC4CCOCC4,True
126,p38,lig_p38a_2gg,98,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC4CCS(=O)(=O)CC4,True
127,p38,lig_p38a_2y,115,CC(C)(CNc1ncc2cc(c(=O)n(c2n1)C)Oc3ccc(cc3F)F)O,True
128,p38,lig_p38a_2x,106,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)N[C@@H]4CCOC4,True
129,p38,lig_p38a_2bb,118,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NCCS(=O)(=O)C,True
130,p38,lig_p38a_2m,108,c1cc(c(cc1F)F)Oc2cc3cnc(nc3n(c2=O)C4CC4)NC5CCOCC5,True
131,p38,lig_p38a_2aa,119,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC(CO)CO,True
132,p38,lig_p38a_2o,93,CS(=O)(=O)CCn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC4CCOCC4,True
133,p38,lig_p38a_2h,91,Cn1c2c(cc(c1=O)Sc3ccccc3F)cnc(n2)NC4CCOCC4,True
134,p38,lig_p38a_2s,111,c1cc(c(cc1F)F)Oc2cc3cnc(nc3n(c2=O)C[C@@H](CO)O)NC4CCOCC4,True
135,p38,lig_p38a_2g,103,Cn1c2c(cc(c1=O)Oc3ccccc3F)cnc(n2)NC4CCOCC4,True
136,p38,lig_p38a_2ee,99,CC(=O)N1CCC(CC1)Nc2ncc3cc(c(=O)n(c3n2)C)Oc4ccc(cc4F)F,True
137,p38,lig_p38a_2k,114,c1cc(c(cc1F)F)Oc2cc3cnc(nc3[nH]c2=O)NC4CCOCC4,True
138,p38,lig_p38a_2r,92,CC(C)(Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC4CCOCC4)O,True
139,p38,lig_p38a_2l,101,CCn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC4CCOCC4,True
140,p38,lig_p38a_3fmh,97,C[C@H](Cn1ncnn1)Nc2ncc3cc(c(=O)n(c3n2)C)Oc4ccc(cc4F)F,True
141,p38,lig_p38a_3fly,105,CC(C)Nc1ncc2cc(c(=O)n(c2n1)C)Oc3ccc(cc3F)F,True
142,p38,lig_p38a_3flw,110,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC(CCO)CCO,True
143,p38,lig_p38a_2f,112,Cn1c2c(cc(c1=O)Oc3cccc(c3)F)cnc(n2)NC4CCOCC4,True
144,p38,lig_p38a_2e,104,Cn1c2c(cc(c1=O)Oc3ccc(cc3)F)cnc(n2)NC4CCOCC4,True
145,p38,lig_p38a_2ff,117,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC4CCC(CC4)O,True
146,p38,lig_p38a_3fln,113,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC4CCOCC4,True
147,p38,lig_p38a_2t,96,c1cc(c(cc1F)F)Oc2cc3cnc(nc3n(c2=O)CC#N)NC4CCOCC4,True
148,p38,lig_p38a_3flz,102,Cn1c2c(cc(c1=O)Oc3ccccc3)cnc(n2)NC4CCOCC4,True
149,hif2a,lig_231,62,CS(=O)(=O)c1ccc(c2c1[C@@H]([C@@H](C2)F)O)Oc3cc(cc(c3)F)C#N,True
150,hif2a,lig_57,65,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)CC[C@H]2O)S(=O)(=O)C(F)(F)F,True
151,hif2a,lig_215,56,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)CC([C@H]2O)(F)F)S(=O)(=O)CCl,True
152,hif2a,lig_235,45,c1cc(c2c(c1Oc3cc(cnc3)C#N)CC([C@H]2O)(F)F)S(=O)(=O)C(F)(F)F,True
153,hif2a,lig_42,37,c1cc(c(c(c1Oc2cc(cc(c2)F)C#N)Cl)CO)S(=O)(=O)C(F)F,True
154,hif2a,lig_224,55,Cn1cc(cn1)Oc2ccc(c3c2CC([C@H]3O)(F)F)S(=O)(=O)C(F)(F)F,True
155,hif2a,lig_35,63,c1cc(c(c(c1Oc2cc(cc(c2)Cl)F)C#N)CO)S(=O)(=O)C(F)F,True
156,hif2a,lig_336,39,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)[C@H]([C@H]([C@H]2O)F)F)S(=O)(=O)N,True
157,hif2a,lig_227,34,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)C[C@H]([C@H]2O)F)S(=O)(=O)C(F)(F)F,True
158,hif2a,lig_67,42,c1cc(c2c(c1C#N)[C@@H](C(C2)(F)F)O)Oc3cc(cc(c3)F)F,True
159,hif2a,lig_31,48,Cc1c(ccc(c1C#N)Oc2cccc(c2)C#N)S(=O)(=O)C(F)F,True
160,hif2a,lig_206,38,CCS(=O)(=O)c1ccc(c2c1[C@@H](C(C2)(F)F)O)Oc3cc(cc(c3)F)C#N,True
161,hif2a,lig_15,33,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)CC([C@H]2O)(F)F)S(=O)(=O)C(F)F,True
162,hif2a,lig_252,41,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)CC([C@H]2O)(F)F)S(=O)(=O)N,True
163,hif2a,lig_251,43,CNS(=O)(=O)c1ccc(c2c1[C@@H](C(C2)(F)F)O)Oc3cc(cc(c3)F)F,True
164,hif2a,lig_84,35,c1cc(c2c(c1Oc3cc(cc(c3)Cl)F)C(=O)OC2)S(=O)(=O)C(F)F,True
165,hif2a,lig_23,61,c1cc(c2c(c1Oc3cc(cc(c3)F)F)C[C@H]([C@H]2O)O)S(=O)(=O)C(F)F,True
166,hif2a,lig_54,53,CS(=O)(=O)c1ccc(c(c1CO)C(F)F)Oc2cc(cc(c2)Cl)F,True
167,hif2a,lig_234,46,CS(=O)(=O)c1ccc(c2c1[C@@H](C(C2)(F)F)O)Oc3cc(cc(c3)Cl)C#N,True
168,hif2a,lig_30,32,c1cc(c(c(c1Oc2cc(cc(c2)F)C#N)C#N)Cl)S(=O)(=O)C(F)F,True
169,hif2a,lig_41,59,c1cc(c(c(c1Oc2cc(cc(c2)Cl)F)Cl)CO)S(=O)(=O)C(F)F,True
170,hif2a,lig_256,54,c1cc(c2c(c1Oc3cc(cc(c3)F)F)CC([C@H]2O)(F)F)S(=O)(=O)N,True
171,hif2a,lig_1,30,c1cc(c2c(c1Oc3cc(cc(c3)Cl)F)CC[C@H]2O)S(=O)(=O)C(F)F,True
172,hif2a,lig_289,51,CS(=O)(=O)c1ccc(c2c1[C@@H]([C@@H]([C@@H]2F)F)O)Oc3cc(cc(c3)F)C#N,True
173,hif2a,lig_338,29,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)[C@H](C([C@H]2O)(F)F)F)S(=O)(=O)N,True
174,hif2a,lig_163,64,CS(=O)(=O)c1ccc(c2c1[C@@H](C(C2)(F)F)O)Oc3cc(cc(c3)F)C#N,True
175,hif2a,lig_254,60,CNS(=O)(=O)c1ccc(c2c1[C@@H](C(C2)(F)F)O)Oc3cc(cc(c3)F)C#N,True
176,hif2a,lig_50,57,Cc1c(ccc(c1C#N)Oc2cc(cc(c2)Cl)F)S(=O)(=O)C,True
177,hif2a,lig_167,50,c1cc(c2c(c1Oc3cc(cc(c3)Cl)C#N)CC([C@H]2O)(F)F)S(=O)(=O)CF,True
178,hif2a,lig_290,36,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)CC([C@H]2N)(F)F)S(=O)(=O)C(F)(F)F,True
179,hif2a,lig_155,47,c1cc(c2c(c1Oc3cc(cc(c3)F)C#N)CC[C@H]2O)S(=O)(=O)C(F)F,True
180,hif2a,lig_43,40,c1cc(cc(c1)Oc2ccc(c(c2Cl)CO)S(=O)(=O)C(F)F)C#N,True
181,hif2a,lig_156,31,c1cc(cc(c1)Oc2ccc(c3c2CC[C@H]3O)S(=O)(=O)C(F)F)C#N,True
182,hif2a,lig_61,52,c1cc(c2c(c1Oc3cc(cc(c3)Cl)F)CC[C@H]2O)S(=O)(=O)CF,True
183,hif2a,lig_25,44,c1cc(c2c(c1Oc3cc(cnc3)Cl)CC([C@H]2O)(F)F)S(=O)(=O)C(F)F,True
184,hif2a,lig_165,49,CS(=O)(=O)c1ccc(c2c1[C@@H](C(C2)(F)F)N)Oc3cc(cc(c3)F)C#N,True
185,hif2a,lig_124,58,c1cc(c(cc1S(=O)(=O)C(F)(F)F)C(F)F)Oc2cc(cc(c2)Cl)F,True
